bias,shapiro_wilk,durbin_watson,ljung_box,breusch_pagan,horizon
1.177001953125,"{'statistic': 0.9104874531823757, 'p_value': 0.0651134204732421, 'note': 'normal'}","{'statistic': 2.185334608248374, 'note': 'no significant autocorrelation'}","{'statistic': 7.540502891201992, 'p_value': 0.5810303078901197, 'note': 'independent'}","{'statistic': 0.25568071051389474, 'p_value': 0.6131032159641028, 'note': 'homoscedastic'}",1
-3.4567281087239583,"{'statistic': 0.9352466552212201, 'p_value': 0.0033393051809834638, 'note': 'not normal (reject H0 at 5%)'}","{'statistic': 1.19563399028821, 'note': 'autocorrelation present'}","{'statistic': 17.716441393000213, 'p_value': 0.05993944921729828, 'note': 'independent'}","{'statistic': 0.23168815421307443, 'p_value': 0.6302749030545673, 'note': 'homoscedastic'}",3
-3.4353919982910157,"{'statistic': 0.9832672150781141, 'p_value': 0.23670132012937328, 'note': 'normal'}","{'statistic': 0.6143892976721566, 'note': 'autocorrelation present'}","{'statistic': 106.21210325814437, 'p_value': 3.090427037046545e-18, 'note': 'autocorrelation present (reject H0 at 5%)'}","{'statistic': 2.958179227855462, 'p_value': 0.08544410832403135, 'note': 'homoscedastic'}",5
-4.704035295758929,"{'statistic': 0.9897040306118856, 'p_value': 0.39174707769533607, 'note': 'normal'}","{'statistic': 0.45118709434605286, 'note': 'autocorrelation present'}","{'statistic': 292.15067919475774, 'p_value': 7.085260386916002e-57, 'note': 'autocorrelation present (reject H0 at 5%)'}","{'statistic': 0.0591873282815647, 'p_value': 0.8077850422484443, 'note': 'homoscedastic'}",7
-9.187812641688756,"{'statistic': 0.9585176431782866, 'p_value': 3.615985602921787e-07, 'note': 'not normal (reject H0 at 5%)'}","{'statistic': 0.18356360400208752, 'note': 'autocorrelation present'}","{'statistic': 1156.14643750754, 'p_value': 4.137342038463434e-242, 'note': 'autocorrelation present (reject H0 at 5%)'}","{'statistic': 2.477368487978655, 'p_value': 0.11549534533916082, 'note': 'homoscedastic'}",14
-16.795015716552733,"{'statistic': 0.9641605146108722, 'p_value': 6.290865391608619e-11, 'note': 'not normal (reject H0 at 5%)'}","{'statistic': 0.07040117244347854, 'note': 'autocorrelation present'}","{'statistic': 3910.943375227017, 'p_value': 0.0, 'note': 'autocorrelation present (reject H0 at 5%)'}","{'statistic': 0.2051512943732403, 'p_value': 0.6505946091454017, 'note': 'homoscedastic'}",30
