n_predictions,mae,mse,rmse,mape,smape,rmsle,mean_forecast_error,median_absolute_error,direction_accuracy,up_accuracy,down_accuracy,pearson_corr,spearman_corr,hit_ratio,information_coefficient,pred_up_fraction,actual_up_fraction,low_sample_warning,direction_bias_warning,reliability_notes,model,horizon
20,3.680003356933594,27.82398992504459,5.274845014315074,1.2832619669401766,1.276392056814291,0.018102844950452307,1.177001953125,1.56500244140625,0.0,0.0,0.0,0.9870273103526632,0.9819548872180449,0.0,,0.0,30.0,True,True,"['only 20 predictions -- direction accuracy could plausibly be anywhere from 0% to 0%', ""model predicted DOWN on 100% of predictions -- accuracy mostly reflects the market's own base rate here, not real directional skill""]",Kronos,1
60,7.787295532226563,118.20695258601724,10.872302083092487,2.6286543582503454,2.6655189146491214,0.03634123597062745,-3.4567281087239583,5.8379364013671875,35.0,20.833333333333336,44.44444444444444,0.9441755509533062,0.9347596554598503,35.0,0.10141924635733031,18.333333333333332,40.0,False,False,[],Kronos,3
100,9.919932708740234,163.41138973768102,12.783246447506244,3.3792072367428387,3.412527486424801,0.04309241701815857,-3.4353919982910157,8.28131103515625,40.0,29.268292682926827,47.45762711864407,0.9264818497238588,0.9291329132913291,40.0,-0.006633182734905527,28.999999999999996,41.0,False,False,[],Kronos,5
140,12.53795885358538,261.6600396587846,16.175909237467444,4.305516734486508,4.353002465908634,0.0556398224284332,-4.704035295758929,9.22186279296875,40.0,26.984126984126984,50.649350649350644,0.8958001467907543,0.8943592905903868,40.0,-0.12980556636623042,29.28571428571429,45.0,False,False,[],Kronos,7
280,19.82422458103725,690.0451890353221,26.26871121763156,6.639873377828151,6.8484959491117925,0.08895989391844555,-9.187812641688756,15.830551147460938,44.285714285714285,32.35294117647059,55.55555555555556,0.7211975996433062,0.6713048478962185,44.285714285714285,-0.057970916401150235,33.57142857142857,48.57142857142857,False,False,[],Kronos,14
600,27.674046986897785,1205.325129793686,34.71779269760228,9.040411070637196,9.488095607970354,0.11655711795739931,-16.795015716552733,21.955429077148438,47.0,34.11371237458194,60.0,0.5978102386447159,0.5595142941186847,47.0,0.023294217228312666,34.66666666666667,49.833333333333336,False,False,[],Kronos,30
20,3.680003356933594,27.82398992504459,5.274845014315074,1.2832619669401766,1.276392056814291,0.018102844950452307,1.177001953125,1.56500244140625,0.0,0.0,0.0,0.9870273103526632,0.9819548872180449,0.0,,0.0,30.0,True,True,"['only 20 predictions -- direction accuracy could plausibly be anywhere from 0% to 0%', ""model predicted DOWN on 100% of predictions -- accuracy mostly reflects the market's own base rate here, not real directional skill""]",Naive (last close),1
60,5.414835103352865,52.41708046072939,7.239964120127212,1.906698108604204,1.9014016621231373,0.025637980003955844,1.12650146484375,3.8899993896484375,28.333333333333332,41.66666666666667,19.444444444444446,0.973730906402141,0.9691800157801093,28.333333333333332,-0.033070262352138974,41.66666666666667,40.0,False,False,[],Naive (last close),3
100,6.407901916503906,70.94471856908872,8.422868784985832,2.2448124611122675,2.234451430321065,0.02926354192895181,1.6041015625,4.4149932861328125,39.0,51.21951219512195,30.508474576271187,0.9653325934017154,0.9660565700073974,39.0,0.06515701296821368,48.0,41.0,False,False,[],Naive (last close),5
140,7.655429949079241,101.40792452944443,10.070150174125727,2.6806892546128123,2.659851500237646,0.03455737421754121,2.187144034249442,5.3650054931640625,40.0,52.38095238095239,29.87012987012987,0.954151869207742,0.9565228375376332,40.0,-0.04564381981900196,52.142857142857146,45.0,False,False,[],Naive (last close),7
280,9.708680289132255,173.969611316299,13.189754027892219,3.3324684537286977,3.3091935269198016,0.0438890686264536,1.8486800057547432,7.2199859619140625,48.214285714285715,59.55882352941176,37.5,0.927948446293489,0.937320447487624,48.214285714285715,0.06293053543467575,56.07142857142857,48.57142857142857,False,False,[],Naive (last close),14
